Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
RAIL3 - 2023,11431846000.0,678543000.0,71046000.0,0.48,2383828000.0,11372965000.0,909448000.0,167202000.0,1.08,2763112000.0,12105972000.0,1252240000.0,482614000.0,3.02,3175072000.0,1
CVCB3 - 2023,372503000.0,-36360000.0,-127955000.0,-67.27,295455000.0,17046000.0,-55288000.0,-166951000.0,-31.5,269357000.0,390621000.0,-31389000.0,-87504000.0,-20.05,375838000.0,1
LREN3 - 2023,-372209000.0,-26661000.0,46766000.0,0.48,2775292000.0,-574857000.0,224430000.0,229700000.0,2.36,3504083000.0,-1112992000.0,91828000.0,172902000.0,1.77,3097096000.0,1
CPLE6 - 2023,11815159000.0,1214240000.0,635490000.0,2.92,5530666000.0,11860135000.0,750978000.0,307706000.0,1.46,5359727000.0,9582453000.0,451549000.0,441163000.0,1.87,5543989000.0,1
AZUL4 - 2023,22678430000.0,168030000.0,-736600000.0,-3.73,4478300000.0,21607032000.0,301217000.0,23908000.0,-0.12,4254195000.0,25175691000.0,671828000.0,-1614898000.0,-7.59,4916440000.0,1
PETR3 - 2023,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,238304000000.0,47546000000.0,26760000000.0,6.9,124828000000.0,1
ALOS3 - 2023,-2117074000.0,4693643000.0,2999150000.0,20.14,621413000.0,-1706947000.0,318842000.0,179368000.0,1.04,650181000.0,-1636599000.0,217638000.0,51646000.0,0.16,653037000.0,1
PETZ3 - 2023,-48195000.0,29334000.0,2172000.0,0.12,766881000.0,-53318000.0,40018000.0,11391000.0,0.61,791648000.0,-15336000.0,35400000.0,1477000.0,0.08,794123000.0,1
HBSA3 - 2023,3857787000.0,126220000.0,20070000.0,1.47,478090000.0,3572386000.0,243158000.0,117863000.0,7.91,597479000.0,3559412000.0,104409000.0,71258000.0,4.49,486973000.0,0
PRIO3 - 2023,9990725000.0,1519843000.0,1162065000.0,10.93,2814955000.0,9094547000.0,1181189000.0,840969000.0,7.82,2311206000.0,8296741000.0,2232324000.0,1628824000.0,12.63,4045490000.0,0
MRVE3 - 2023,6772501000.0,-31146000.0,40736000.0,0.52,1689885000.0,7518430000.0,112584000.0,192480000.0,3.01,1825658000.0,6956965000.0,24418000.0,-139725000.0,-1.99,1973612000.0,1
POMO4 - 2023,956419000.0,258134000.0,236276000.0,7.66,1653970000.0,1069223000.0,122019000.0,140456000.0,4.28,1364476000.0,1033071000.0,176691000.0,161688000.0,4.74,1614827000.0,1
CPLE3 - 2023,11815159000.0,1214240000.0,635490000.0,2.92,5530666000.0,11860135000.0,750978000.0,307706000.0,1.46,5359727000.0,9582453000.0,451549000.0,441163000.0,1.87,5543989000.0,1
LWSA3 - 2023,-1350633000.0,21220000.0,7230000.0,0.24,302850000.0,-986749000.0,19489000.0,-38831000.0,-1.33,313900000.0,-1036964000.0,14757000.0,3870000.0,0.13,330090000.0,1
ELET3 - 2023,35434800000.0,3986877000.0,405963000.0,0.44,9209833000.0,37175921000.0,5697633000.0,1618904000.0,1.51,9245530000.0,39159707000.0,3890393000.0,1476587000.0,1.31,8781430000.0,1
CMIN3 - 2023,-961017000.0,1148540000.0,515797000.0,4.27,4514331000.0,-281596000.0,1085009000.0,494181000.0,4.72,4014012000.0,-2186056000.0,1771131000.0,1199926000.0,10.48,4839552000.0,1
CCRO3 - 2023,20120666000.0,1808294000.0,629329000.0,5.17,3798540000.0,22439785000.0,1313874000.0,263182000.0,2.21,3905137000.0,22654678000.0,1261168000.0,252108000.0,1.98,4426170000.0,1
VAMO3 - 2023,7128238000.0,541691000.0,169126000.0,4.45,1682313000.0,9166137000.0,523579000.0,106601000.0,2.72,1468919000.0,8751904000.0,535882000.0,115800000.0,2.37,1481513000.0,1
GGBR4 - 2023,6436107000.0,4292437000.0,3215399000.0,6.59,18872303000.0,6510604000.0,2884904000.0,2142723000.0,4.36,18265370000.0,5476112000.0,2384140000.0,1592065000.0,3.13,17063258000.0,1
GOAU4 - 2023,5458961000.0,4288523000.0,3236531000.0,6.33,18872303000.0,5547638000.0,2852794000.0,2132522000.0,4.05,18265370000.0,4498205000.0,2380878000.0,1613051000.0,3.07,17063258000.0,1
RAPT4 - 2023,3321200000.0,376755000.0,186840000.0,4.29,2658168000.0,3226436000.0,376434000.0,187126000.0,3.98,2776867000.0,2852118000.0,326714000.0,165804000.0,2.97,2896681000.0,1
GOLL4 - 2023,11607399000.0,796495000.0,619525000.0,-2.94,4920195000.0,11580317000.0,537204000.0,556289000.0,-2.72,4145926000.0,9514071000.0,825055000.0,-1300367000.0,-5.9,4665446000.0,1
